DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Euro area – 20 countries (from 2023),2019,345712139,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Euro area – 20 countries (from 2023),2020,346640106,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Euro area – 20 countries (from 2023),2021,346718238,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Euro area – 20 countries (from 2023),2022,347131372,b,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Euro area – 20 countries (from 2023),2023,348566968,bp,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Euro area – 20 countries (from 2023),2024,350177453,p,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Euro area – 20 countries (from 2023),2025,351379988,ep,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Estonia,2014,1315819,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Estonia,2015,1314870,b,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Estonia,2016,1315944,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Estonia,2017,1315635,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Estonia,2018,1319133,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Estonia,2019,1324820,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Estonia,2020,1328976,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Estonia,2021,1330068,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Estonia,2022,1331796,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Estonia,2023,1365884,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Estonia,2024,1374687,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Estonia,2025,1369995,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Greece,2014,10926807,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Greece,2015,10858018,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Greece,2016,10783748,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Greece,2017,10768193,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Greece,2018,10741165,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Greece,2019,10724599,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Greece,2020,10718565,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Greece,2021,10678632,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Greece,2022,10461627,b,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Greece,2023,10413982,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Greece,2024,10400720,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Greece,2025,10409547,ep,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Spain,2014,46495744,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Spain,2015,46425722,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Spain,2016,46418884,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Spain,2017,46497393,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Spain,2018,46645070,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Spain,2019,46918951,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Spain,2020,47318050,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Spain,2021,47400798,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Spain,2022,47486843,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Spain,2023,48085361,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Spain,2024,48619695,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Spain,2025,49077984,p,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,European Union - 27 countries (from 2020),2014,442268078,be,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,European Union - 27 countries (from 2020),2015,442924865,be,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,European Union - 27 countries (from 2020),2016,444003268,e,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,European Union - 27 countries (from 2020),2017,444670605,be,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,European Union - 27 countries (from 2020),2018,445301376,e,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,European Union - 27 countries (from 2020),2019,446149924,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,European Union - 27 countries (from 2020),2020,447030024,e,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,European Union - 27 countries (from 2020),2021,445891011,b,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,European Union - 27 countries (from 2020),2022,445998928,be,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,European Union - 27 countries (from 2020),2023,447704445,bep,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,European Union - 27 countries (from 2020),2024,449309618,ep,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,European Union - 27 countries (from 2020),2025,450380320,ep,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Finland,2014,5451270,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Finland,2015,5471753,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Finland,2016,5487308,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Finland,2017,5503297,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Finland,2018,5513130,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Finland,2019,5517919,,
