DATAFLOW,LAST UPDATE,freq,unit,tra_meas,airline,rep_airp,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2019-06,42706,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2019-07,47127,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2019-08,47748,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2019-09,41758,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2019-10,35501,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2019-11,28233,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2019-12,28731,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2020-01,31041,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2020-02,29474,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2020-03,11511,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2020-04,0,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2020-05,14,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2020-06,64,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2020-07,8707,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2020-08,18168,,
