DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2016-10,101.72,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2016-11,101.79,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2016-12,102.55,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2017-01,101.91,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2017-02,102.13,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2017-03,102.94,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2017-04,103.27,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2017-05,103.21,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2017-06,103.06,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2017-07,102.47,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2017-08,102.46,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2017-09,103.90,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2017-10,104.12,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2017-11,104.27,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2017-12,104.94,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2018-01,103.86,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2018-02,104.12,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2018-03,105.05,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2018-04,105.29,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2018-05,105.40,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2018-06,105.46,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2018-07,104.83,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2018-08,104.82,,
