DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,Poland,2017-06,3110513,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,Poland,2017-07,3710395,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,Poland,2017-08,3877811,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,Poland,2017-09,3150963,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,Poland,2017-10,2734264,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,Poland,2017-11,2451267,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,Poland,2017-12,2352236,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,Poland,2018-01,2473669,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,Poland,2018-02,2489004,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,Poland,2018-03,2370136,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,Poland,2018-04,2605686,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,Poland,2018-05,3023816,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,Poland,2018-06,3371359,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,Poland,2018-07,3936975,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,Poland,2018-08,4195128,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,Poland,2018-09,3362000,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,Poland,2018-10,2985198,,
